code,long_description,short_description
J7180,"Injection, factor xiii (antihemophilic factor, human), 1 i.u.",Factor xiii anti-hem factor
S9482,"Family stabilization services, per 15 minutes",Family stabilization 15 min
G9666,The highest fasting or direct ldl-c laboratory test result of 70-189 mg/dl in the measurement period or two years prior to the beginning of the measurement period,Fas/dir ldl 70-189mg/dl mst
A4327,"Female external urinary collection device; meatal cup, each",Fem urinary collect dev cup
Q0500,"Filters for use with electric or electric/pneumatic ventricular assist device, replacement only","Filters elec/combo vad, rep"
A4730,"Fistula cannulation set for hemodialysis, each","Fistula cannulation set, ea"
E1234,"Wheelchair, pediatric size, tilt-in-space, folding, adjustable, without seating system",Fld ped wc tltnspc w/o seat
Q4128,"Flex hd, allopatch hd, or matrix hd, per square centimeter",Flexhd/allopatchhd/matrixhd
Q4178,"Floweramniopatch, per square centimeter","Floweramniopatch, per sq cm"
J7313,"Injection, fluocinolone acetonide, intravitreal implant, 0.01 mg",Fluocinol acet intravit imp
Q9982,"Flutemetamol f18, diagnostic, per study dose, up to 5 millicuries",Flutemetamol f18 diagnostic
Q2038,"Influenza virus vaccine, split virus, when administered to individuals 3 years of age and older, for intramuscular use (fluzone)","Fluzone vacc, 3 yrs & >, im"
E2216,"Manual wheelchair accessory, foam filled propulsion tire, any size, each",Foam filled propulsion tire
L5974,"All lower extremity prostheses, foot, single axis ankle/foot",Foot single axis ankle/foot
H0042,"Foster care, child, non-therapeutic, per month",Fos c chld non-ther per mon
E0946,"Fracture, frame, dual with cross bars, attached to bed, (e.g., balken, 4 poster)",Fracture frame dual w cross
E2203,"Manual wheelchair accessory, nonstandard seat frame depth, 20 to less than 22 inches",Frame depth less than 22 in
E2629,"Wheelchair accessory, shoulder elbow, mobile arm support attached to wheelchair, balanced, friction arm support (friction dampening to proximal and distal joints)",Friction dampening arm supp
G9140,"Frontier extended stay clinic demonstration; for a patient stay in a clinic approved for the cms demonstration project; the following measures should be present: the stay must be equal to or greater than 4 hours; weather or other conditions must prevent transfer or the case falls into a category of monitoring and observation cases that are permitted by the rules of the demonstration; there is a maximum frontier extended stay clinic (fesc) visit of 48 hours, except in the case when weather or other conditions prevent transfer; payment is made on each period up to 4 hours, after the first 4 hours",Frontier extended stay demo
L3420,"Full sole and heel wedge, between sole",Full sole/heel wedge btween
G9916,Functional statusperformed once in the last 12 months,Funct status past 12 months
B4088,"Gastrostomy/jejunostomy tube, low-profile, any material, any type, each","Gastro/jejuno tube, low-pro"
A6228,"Gauze, impregnated, water or normal saline, sterile, pad size 16 sq. in. or less, without adhesive border, each dressing",Gauze <= 16 sq in water/sal
S3845,Genetic testing for alpha-thalassemia,Gene test alpha-thalassemia
S3855,Genetic testing for detection of mutations in the presenilin - 1 gene,Gene test presenilin-1 gene
J1610,"Injection, glucagon hydrochloride, per 1 mg",Glucagon hydrochloride/1 mg
J1600,"Injection, gold sodium thiomalate, up to 50 mg",Gold sodium thiomaleate inj
P9050,"Granulocytes, pheresis, each unit","Granulocytes, pheresis unit"
G0271,"Medical nutrition therapy, reassessment and subsequent intervention(s) following second referral in same year for change in diagnosis, medical condition, or treatment regimen (including additional hours needed for renal disease), group (2 or more individuals), each 30 minutes",Group mnt 2 or more 30 mins
CS   ,"Item or service related, in whole or in part, to an illness, injury, or condition that was caused by or exacerbated by the effects, direct or indirect, of the 2010 oil spill in the gulf of mexico, including but not limited to subsequent clean-up activities",Gulf oil 2010 spill related
T2019,"Habilitation, supported employment, waiver; per 15 minutes",Habil sup empl waiver 15min
G9645,Patients who did not abstain from smoking prior to anesthesia on the day of surgery or procedure,Had smoke b/4 anes day surg
L6910,"Hand restoration (casts, shading and measurements included), partial hand, with glove, no fingers remaining",Hand restoration no fingers
E2374,"Power wheelchair accessory, hand or chin control interface, standard remote joystick (not including controller), proportional, including all related electronics and fixed mounting hardware, replacement only",Hand/chin ctrl std joystick
L6672,"Upper extremity addition, harness, chest or shoulder, saddle type",Harness chest/shlder saddle
ED   ,Hematocrit level has exceeded 39% (or hemoglobin level has exceeded 13.0 g/dl) for 3 or more consecutive billing cycles immediately prior to and including the current cycle,Hct>39% or hgb>13g>=3 cycle
E2327,"Power wheelchair accessory, head control interface, mechanical, proportional, including all related electronics, mechanical direction change switch, and fixed mounting hardware",Head control interface mech
V5050,"Hearing aid, monaural, in the ear",Hearing aid monaural in ear
V5263,"Hearing aid, disposable, any type, binaural","Hearing aid, disp, binaural"
V5262,"Hearing aid, disposable, any type, monaural","Hearing aid, disp, monaural"
V5253,"Hearing aid, digitally programmable, binaural, bte","Hearing aid, prog, bin, bte"
V5250,"Hearing aid, digitally programmable analog, binaural, cic","Hearing aid, prog, bin, cic"
V5251,"Hearing aid, digitally programmable analog, binaural, itc","Hearing aid, prog, bin, itc"
V5252,"Hearing aid, digitally programmable, binaural, ite","Hearing aid, prog, bin, ite"
V5247,"Hearing aid, digitally programmable analog, monaural, bte (behind the ear)","Hearing aid, prog, mon, bte"
V5244,"Hearing aid, digitally programmable analog, monaural, cic","Hearing aid, prog, mon, cic"
V5245,"Hearing aid, digitally programmable, analog, monaural, itc","Hearing aid, prog, mon, itc"
V5246,"Hearing aid, digitally programmable analog, monaural, ite (in the ear)","Hearing aid, prog, mon, ite"
V5254,"Hearing aid, digital, monaural, cic","Hearing id, digit, mon, cic"
L5280,"Hemipelvectomy, canadian type; molded socket, hip joint, single axis constant friction knee, shin, sach foot",Hemipelvect canad sing axis
G9207,Hepatitis c genotype testing documented as performed within 12 months prior to initiation of antiviral treatment for hepatitis c,Hep c genotype prior to med
G9203,Rna testing for hepatitis c documented as performed within 12 months prior to initiation of antiviral treatment for hepatitis c,Hep c rna done prior to med
G0499,"Hepatitis b screening in non-pregnant, high risk individual includes hepatitis b surface antigen (hbsag), antibodies to hbsag (anti-hbs) and antibodies to hepatitis b core antigen (anti-hbc), and is followed by a neutralizing confirmatory test, when performed, only for an initially reactive hbsag result",Hepb screen high risk indiv
G9828,Her2-targeted therapies administered during the initial course of treatment,Her-2 targ ther dur init tx
L3929,"Hand finger orthosis, includes one or more nontorsion joint(s), turnbuckles, elastic bands/springs, may include soft interface material, straps, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise",Hfo nontorsion jnts pre cst
L3930,"Hand finger orthosis, includes one or more nontorsion joint(s), turnbuckles, elastic bands/springs, may include soft interface material, straps, prefabricated, off-the-shelf",Hfo nontorsion jnts pre ots
G0162,Skilled services by a registered nurse (rn) for management and evaluation of the plan of care; each 15 minutes (the patient's underlying condition or complication requires an rn to ensure that essential non-skilled care achieves its purpose in the home health or hospice setting),"Hhc rn e&m plan svs, 15 min"
G0299,"Direct skilled nursing services of a registered nurse (rn) in the home health or hospice setting, each 15 minutes",Hhs/hospice of rn ea 15 min
G8465,High or very high risk of recurrence of prostate cancer,High risk recurrence pro ca
L3901,"Wrist hand finger orthosis, dynamic flexor hinge, reciprocal wrist extension/ flexion, finger flexion/extension, cable driven, custom fabricated",Hinge ext/flex wrist finger
L2570,"Addition to lower extremity, pelvic control, hip joint, clevis type two position joint, each",Hip clevis type 2 posit jnt
L5331,"Hip disarticulation, canadian type, molded socket, endoskeletal system, hip joint, single axis knee, sach foot",Hip disart canadian sach ft
L5595,"Preparatory, hip disarticulation-hemipelvectomy, pylon, no cover, sach foot, thermoplastic or equal, molded to patient model",Hip disartic sach thermopls
S5523,"Home infusion therapy, insertion of midline venous catheter, nursing services only (no supplies or catheter included)",Hip midline cath insert kit
S5521,"Home infusion therapy, all supplies (including catheter) necessary for a midline catheter insertion",Hit midline cath insert kit
A7505,"Housing, reusable without adhesive, for use in a heat and moisture exchange system and/or with a tracheostoma valve, each",Hmes or trach valve housing
L1650,"Hip orthosis, abduction control of hip joints, static, adjustable, (ilfled type), prefabricated, includes fitting and adjustment",Ho abduction hip adjustable
L1660,"Hip orthosis, abduction control of hip joints, static, plastic, prefabricated, includes fitting and adjustment",Ho abduction static plastic
